K_value,Avg_silhouette,Sil_cluster1,Sil_cluster2,Sil_cluster3,Sil_cluster4,Sil_cluster5
110,0.7572403396,0.7120925556,0.9593055499,0.7893619117,,
111,0.7571778924,0.7121069685,0.789179048,0.9592841095,,
112,0.7571001947,0.7120142899,0.7891212474,0.9592193494,,
113,0.7564714548,0.7112301731,0.9591732789,0.788622303,,
114,0.7562809936,0.7110285954,0.7884211764,0.9591413645,,
126,0.7558446524,0.7110771541,0.7872438895,0.9588539271,,
127,0.7558350365,0.7111575189,0.9588231832,0.7871051044,,
122,0.755818116,0.7107999441,0.9589306771,0.7875696154,,
129,0.7558040326,0.7111227012,0.9587869589,0.7870806196,,
125,0.755799645,0.7109267034,0.7873441953,0.9588691316,,
123,0.7557984791,0.7107915079,0.7875304621,0.9589285436,,
130,0.7557963497,0.7110821888,0.7871246226,0.9587602848,,
131,0.7557844451,0.7111309279,0.7870265063,0.9587292001,,
115,0.7557821081,0.710453713,0.7879574757,0.9590932277,,
124,0.755772259,0.7108880631,0.7873232071,0.9589015418,,
128,0.755770814,0.7111054326,0.7870165963,0.9587963132,,
121,0.7557667218,0.7106897282,0.9589509641,0.7875927807,,
133,0.7557384324,0.7110612496,0.7870115095,0.9587060598,,
132,0.7557327161,0.711058189,0.7870004755,0.9587085387,,
134,0.7557251383,0.7111433809,0.7868577904,0.9586905073,,
118,0.7557204111,0.7104506095,0.7878150448,0.9589979841,,
136,0.7557090736,0.7111203137,0.7868546809,0.9586590844,,
120,0.7557076031,0.7105480071,0.9589712328,0.7876419971,,
135,0.755702915,0.7110919214,0.9586805325,0.7868766172,,
119,0.7557016276,0.7104463294,0.7877725835,0.9589925352,,
116,0.7556959729,0.7105369187,0.9590453463,0.7876149281,,
117,0.7556848538,0.7104508361,0.7877158705,0.9590257656,,
137,0.7556694638,0.7110532556,0.7868520971,0.9586398393,,
176,0.7556345159,0.7121732535,0.958189471,0.7851838255,,
174,0.7556314244,0.7121303418,0.9582050598,0.7852363036,,
138,0.7556142498,0.7110097507,0.7867756184,0.9586079758,,
175,0.7556101913,0.7121137866,0.9582039285,0.7852047356,,
171,0.755593943,0.7120096448,0.7853120671,0.9582235083,,
173,0.7555938612,0.7120641648,0.7852328953,0.9582147518,,
172,0.7555895173,0.7120312101,0.7852689977,0.9582207876,,
170,0.755545863,0.7119331505,0.9582234771,0.7852977118,,
169,0.7554918755,0.7118586247,0.9582107905,0.7852669796,,
168,0.7554659685,0.7117848929,0.7853023722,0.9582391856,,
167,0.7554510862,0.711835535,0.7851882125,0.9582394664,,
166,0.7554333277,0.7117874878,0.9582447821,0.785211209,,
165,0.7554210496,0.7118024004,0.9582412592,0.7851573132,,
164,0.7553862255,0.7117170488,0.9582727796,0.7851857208,,
163,0.7553576844,0.7116136761,0.7852626352,0.9582733292,,
162,0.7553328062,0.7116609766,0.9582617127,0.7851289853,,
161,0.7553229037,0.7115345615,0.9582875095,0.7852849148,,
160,0.7552702922,0.7114460358,0.9582834011,0.7852770178,,
159,0.7552629193,0.7113963145,0.9582895782,0.7853298213,,
158,0.7552508157,0.7114244654,0.9582980842,0.7852547989,,
139,0.7552268045,0.7105436753,0.958572452,0.7864441163,,
155,0.7552180343,0.7112904665,0.958356512,0.7853558027,,
157,0.7552119462,0.7113222346,0.9583294979,0.7852974263,,
156,0.7551905012,0.7113135037,0.9583345533,0.785252696,,
154,0.7551572786,0.7111033034,0.958370794,0.7854687638,,
153,0.7551509107,0.7111206383,0.9583720467,0.7854261186,,
152,0.7551170876,0.7109069978,0.9583822832,0.7856501137,,
151,0.7550853806,0.7107815159,0.9584153972,0.7857457146,,
149,0.7550110955,0.7106432338,0.9584296998,0.7857507396,,
150,0.7550044098,0.7105731875,0.9584185581,0.7858383101,,
148,0.7549738678,0.7105709926,0.9584402487,0.7857570211,,
147,0.7549486805,0.7105466421,0.9584539553,0.7857239584,,
146,0.754918866,0.7105375249,0.9584706336,0.785655665,,
145,0.7548694939,0.7104398031,0.9584859697,0.7856665904,,
144,0.7548686168,0.7103859767,0.9585015584,0.7857410346,,
143,0.7548237541,0.710248621,0.9584940942,0.7858262703,,
141,0.7547767174,0.7100862743,0.9584979119,0.7859407039,,
140,0.7547505484,0.7099331098,0.9584931068,0.7860982831,,
142,0.7547436474,0.710137506,0.9584874968,0.7857793695,,
177,0.75467659,0.7129533759,0.9531725742,0.7802453448,,
6,0.7507043388,0.7047397506,0.7710910184,0.9714007814,0.9568260681,
3,0.7119439158,0.688468607,0.9881886087,0.9880513573,,
4,0.6917537257,0.6652402223,0.9808463761,0.9912063025,,
2,0.6234998202,0.5864980137,0.9920581697,0.9842690231,0.990385486,
